photo,lieu,latitude,longitude,month,year,x,y,Mean IoU,Class 1 IoU,Class 2 IoU,Mean Acc,Class 1 Acc,Class 2 Acc,LowMeanIoU,LowClass1Iou,LowClass2IoU,LowMeanAcc,LowClass1Acc,LowClass2Acc,MeanIoULight,Class1IoULight,Class2IoULight,MeanAccLight,Class1AccLight,Class2AccLight,difficulty
107_rgb.png,Tarrano,42.35,9.4017,10,2013,1,0.701447247,0.371211612,0.132567951,0.609855273,0.329610866,-0.020542503,0.679764235,0.548352483,0.831004973,0.265699992,0.632818694,0.998033278,0.26760411,0.919564095,0.963572925,0.875555265,0.96242956,0.977490775,0.947368345,difficult
277_rgb.png,Salario (Ajaccio),41.920579,8.6968895,7,2006,0,0.309530272,-0.047914378,-0.026355064,-0.069473693,0.022277888,-0.037682743,0.08223852,0.835483704,0.949823361,0.721144046,0.935733967,0.962298338,0.909169597,0.787569325,0.923468298,0.651670353,0.958011856,0.924615595,0.991408116,easy
276_rgb.png,Salario (Ajaccio),41.920579,8.6968895,7,2006,0,0.309530272,0.160924144,-0.046278607,0.368126895,0.360930958,-0.163963292,0.885825208,0.493567362,0.880716959,0.106417765,0.553108399,0.999316963,0.106899835,0.654491506,0.834438351,0.47454466,0.914039357,0.835353671,0.992725044,difficult
271_rgb.png,Salario (Ajaccio),41.920579,8.6968895,7,2006,0,0.309530272,0.189896314,0.039083329,0.3407093,0.190454451,-0.007448364,0.388357265,0.678316043,0.929091864,0.427540221,0.715567067,0.998403427,0.432730706,0.868212357,0.968175193,0.768249521,0.906021517,0.990955063,0.821087971,easy
270_rgb.png,Salario (Ajaccio),41.920579,8.6968895,7,2006,0,0.309530272,0.340328904,0.036437596,0.644220211,0.323905323,-0.000353143,0.64816379,0.482902033,0.943389681,0.022414385,0.511203936,0.99998974,0.022418132,0.823230936,0.979827277,0.666634596,0.835109259,0.999636598,0.670581921,difficult
269_rgb.png,Salario (Ajaccio),41.920579,8.6968895,7,2006,0,0.309530272,0.346927039,0.030266141,0.663587937,0.445534017,-0.020498305,0.91156634,0.497898013,0.946956924,0.048839102,0.524419551,1,0.048839102,0.844825052,0.977223065,0.712427039,0.969953568,0.979501695,0.960405442,difficult
268_rgb.png,Salario (Ajaccio),41.920579,8.6968895,7,2006,0,0.309530272,0.40156005,0.042417613,0.760702487,0.447489946,-0.012485519,0.907465411,0.46960923,0.93921846,0,0.5,1,0,0.87116928,0.981636073,0.760702487,0.947489946,0.987514481,0.907465411,difficult
273_rgb.png,Saint Cyprien,41.6363249,9.345439,6,2005,0.920175707,0.050101862,-0.097369142,-0.040721603,-0.15401668,-0.030297771,-0.04007573,-0.020519811,0.723242016,0.951778708,0.494705324,0.88623575,0.962434241,0.810037259,0.625872874,0.911057105,0.340688644,0.85593798,0.922358511,0.789517448,easy
267_rgb.png,Saint Cyprien,41.6363249,9.345439,6,2005,0.920175707,0.050101862,0.439622538,0.071521443,0.807723634,0.452928988,-0.014480614,0.920338591,0.452955463,0.905910925,0,0.5,1,0,0.892578001,0.977432368,0.807723634,0.952928988,0.985519386,0.920338591,difficult
102_rgb.png,Pioggiola,42.5371144,8.9971028,1,2012,0.425948961,0.872219775,0.294829851,0.102071722,0.487587979,0.249115335,0,0.49823067,0.565992825,0.842531003,0.289454647,0.64509265,0.994412661,0.295772638,0.860822676,0.944602725,0.777042626,0.894207985,0.994412661,0.794003308,difficult
030_rgb.png,Pioggiola,42.5371144,8.9971028,3,2007,0.425948961,0.872219775,0.212582949,0.077461972,0.347703925,0.179376093,0.004467174,0.354285011,0.654064087,0.869636278,0.438491897,0.72491793,0.985201102,0.464634757,0.866647036,0.94709825,0.786195821,0.904294022,0.989668276,0.818919768,easy
190_rgb.png,Pioggiola,42.5371144,8.9971028,10,2005,0.425948961,0.872219775,0.41040417,0.230334966,0.590473374,0.294906724,-0.005226505,0.595039954,0.358155034,0.58203694,0.134273128,0.567136564,1,0.134273128,0.768559204,0.812371906,0.724746502,0.862043289,0.994773495,0.729313082,difficult
